Year,Month,Day,DayOfWeek,Flight_Date,UniqueCarrier,Tai_lNum,FlightNum,Origin_Airport,Origin_City_Name,Origin_State,Scheduled_Departure,Departure_Time,Dep_Delay,DepDel15,Dep_Delay_Groups,Scheduled_Arrival,Arrival_Time,Arrival_Delay,Arr_Delay_Minutes,Arr_Del_morethan15,Cancelled,Diverted,Distance,DistanceGroup,Carrier_Delay,WeatherDelay,NAS_Delay,Security_Delay,Late_Aircraft_Delay,Top_Carriers,Top_Origin,DEPTIME_GROUP1,DEPTIME_GROUP2,DEPTIME_GROUP3
2016,7,24,7,24/07/2016,AA,N796AA,2,LAX,"Los Angeles, CA",CA,900,853,-7,0,-1,1729,1733,4,4,0,0,0,2475,10,0,0,0,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,26,2,26/07/2016,AA,N798AA,2,LAX,"Los Angeles, CA",CA,900,856,-4,0,-1,1729,1748,19,19,1,0,0,2475,10,0,0,19,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,27,3,27/07/2016,AA,N790AA,2,LAX,"Los Angeles, CA",CA,900,901,1,0,0,1729,1752,23,23,1,0,0,2475,10,1,0,22,0,0,1,1,0600-1200,0800-1000,0900-1000
2016,7,28,4,28/07/2016,AA,N784AA,2,LAX,"Los Angeles, CA",CA,900,1119,139,1,9,1729,1950,141,141,1,0,0,2475,10,139,0,2,0,0,1,1,0600-1200,1000-1200,1100-1200
2016,7,29,5,29/07/2016,AA,N786AA,2,LAX,"Los Angeles, CA",CA,900,907,7,0,0,1729,1803,34,34,1,0,0,2475,10,0,0,34,0,0,1,1,0600-1200,0800-1000,0900-1000
2016,7,30,6,30/07/2016,AA,N789AA,2,LAX,"Los Angeles, CA",CA,900,916,16,1,1,1729,1757,28,28,1,0,0,2475,10,0,0,28,0,0,1,1,0600-1200,0800-1000,0900-1000
2016,7,31,7,31/07/2016,AA,N783AA,2,LAX,"Los Angeles, CA",CA,900,856,-4,0,-1,1729,1756,27,27,1,0,0,2475,10,0,0,27,0,0,1,1,0600-1200,0800-1000,0800-0900
2016,7,1,5,01/07/2016,AA,N793AA,3,JFK,"New York, NY",NY,1245,1241,-4,0,-1,1545,1631,46,46,1,0,0,2475,10,0,0,46,0,0,1,1,1200-1800,1200-1400,1200-1300
2016,7,2,6,02/07/2016,AA,N798AA,3,JFK,"New York, NY",NY,1245,1242,-3,0,-1,1545,1528,-17,0,0,0,0,2475,10,0,0,0,0,0,1,1,1200-1800,1200-1400,1200-1300
2016,7,3,7,03/07/2016,AA,N793AA,3,JFK,"New York, NY",NY,1245,1245,0,0,0,1545,1538,-7,0,0,0,0,2475,10,0,0,0,0,0,1,1,1200-1800,1200-1400,1200-1300
2016,7,4,1,04/07/2016,AA,N791AA,3,JFK,"New York, NY",NY,1245,1243,-2,0,-1,1545,1538,-7,0,0,0,0,2475,10,0,0,0,0,0,1,1,1200-1800,1200-1400,1200-1300
2016,7,5,2,05/07/2016,AA,N797AA,3,JFK,"New York, NY",NY,1245,1242,-3,0,-1,1545,1516,-29,0,0,0,0,2475,10,0,0,0,0,0,1,1,1200-1800,1200-1400,1200-1300
2016,7,6,3,06/07/2016,AA,N784AA,3,JFK,"New York, NY",NY,1245,1249,4,0,0,1545,1542,-3,0,0,0,0,2475,10,0,0,0,0,0,1,1,1200-1800,1200-1400,1200-1300
2016,7,7,4,07/07/2016,AA,N790AA,3,JFK,"New York, NY",NY,1245,1243,-2,0,-1,1545,1529,-16,0,0,0,0,2475,10,0,0,0,0,0,1,1,1200-1800,1200-1400,1200-1300
2016,7,8,5,08/07/2016,AA,N794AA,3,JFK,"New York, NY",NY,1245,1254,9,0,0,1545,1559,14,14,0,0,0,2475,10,0,0,0,0,0,1,1,1200-1800,1200-1400,1200-1300
2016,7,9,6,09/07/2016,AA,N784AA,3,JFK,"New York, NY",NY,1245,1242,-3,0,-1,1545,1537,-8,0,0,0,0,2475,10,0,0,0,0,0,1,1,1200-1800,1200-1400,1200-1300
2016,7,10,7,10/07/2016,AA,N787AA,3,JFK,"New York, NY",NY,1245,1240,-5,0,-1,1545,1524,-21,0,0,0,0,2475,10,0,0,0,0,0,1,1,1200-1800,1200-1400,1200-1300
